CTRI_No,Public_Title,Type_of_Trial,Recruitment_Status,Health_Condition,Intervention_Name,Location
CTRI/2013/02/003380,This study is to survey on venous thromboembolism risk in cancer patients (lung or colorectal) who were about to start a new chemotherapy regimen.,Observational,"Total: Completed
Indian: Completed","Colorectal or Lung (SCLC or NSCLC) cancer

Malignant neoplasm of unspecifiedpart of bronchus or lung",,"CHL Apollo Hospitals,MADHYA PRADESH

Christian Medical College, Vellore,TAMIL NADU

Deenanath Mangeshkar Hospital And Research Center,MAHARASHTRA

G. Kuppswamy Naidu Memorial hospital,TAMIL NADU

Meenakshi Mission Hospital and Research centre,TAMIL NADU

Nanals Hospitals Galaxy CARE Laparoscopy Institute,MAHARASHTRA

Omega Hospitals,ANDHRA PRADESH

Regional Cancer Centre,KERALA

Shri Siddhivinayak Ganpati Cancer Hospital,MAHARASHTRA

Tata Memorial Hospital,MAHARASHTRA"
CTRI/2012/03/002529,Comparison of study drug Panitumumab With Supportive Care to Best Supportive Care in Patients With Metastatic Colorectal Cancer,Interventional,"Total: Completed
Indian: Completed","Malignant neoplasm of colon, unspecified

Malignant neoplasm of rectum

Metastatic Colorectal Cancer",Experimental: Pmab + BSC ( Best Supportive care ),"Curie Manavata Cancer Centre, Nashik,MAHARASHTRA

Dr. Rai Memorial Medical Centre, Chennai,TAMIL NADU

Grant Medical Foundation, Ruby Hall Clinic,MAHARASHTRA

LakeShore Hospital & Research Centre Ltd, Cochin,KERALA

M S Ramaiah Curie centre of Oncology, Bangalore,KARNATAKA

Shatabdi Superspeciality Hospital, Nashik,MAHARASHTRA

Tata Memorial Hospital, Mumbai.,MAHARASHTRA"
CTRI/2012/04/002607,"This is a comperative study of Capecitabine Capsule 500 mg tablets manufactured by sponsor with Xeloda 500 mg Tablets of Genetech USA, A Member of Roche group, USA, in adult patients with Breast cancer and Colorectal cancer under fed condition.",BA/BE,"Total: Not Applicable
Indian: Not Yet Recruiting",Breast Cancer and Colorectal Cancer,Capecitabine Capsule 500 mg Tablets,"Asian Institute of Medical Sciences,HARYANA

BIBI General Hospitals & Cancer Centre,ANDHRA PRADESH

Cancer Clinic and Nursing Home,MAHARASHTRA

Curie Manavata Cancer Centre,MAHARASHTRA

Deshmukh Hospital,MAHARASHTRA

Karnataka Cancer Hospital,KARNATAKA

Mahavir Cancer Sansthan,BIHAR

Narayanan Hrudayalaya Hospital,KARNATAKA"
CTRI/2013/02/003357,COMPARING THE EFFECTIVENESS OF RAMOSETRON WITH ONDANSETRON IN PREVENTING POSTOPERATIVE NAUSEA AND VOMITING OCCURING AFTER AN OPERATION IN PATIENTS AT A HIGH RISK,Interventional,"Total: Not Applicable
Indian: Completed",Adult Cancer patients undergoing cancer surgery and at a high risk for postoperative nausea and vomiting,Ramosetron,"Room No 94 Department of Anaesthesia, Critical Care & Pain,MAHARASHTRA"
CTRI/2012/05/002674,Laser therapy for mouth ulcers caused by cancer treatment,Interventional,"Total: Not Applicable
Indian: Completed",Head and Neck Cancer patients receiving Radiation/Concurrent Chemoradiotherapy,Low Level Laser Therapy,"Sirdi Sai Baba Cancer Hospital,KARNATAKA"
CTRI/2012/06/002717,"We are comparing two arm of treatment ,compare short course palliative Radiotherapy with short course concurrent palliative Chemotherapy plus radiotherapy in advanced and unresectable head and neck cancer .",Interventional,"Total: Not Applicable
Indian: Open to Recruitment",Head and Neck Cancer,short course of concurrent palliative chemotherapy plus radiotherapy,"institute rotary cancer hospital,all india institute of medical sciences,DELHI"
CTRI/2012/04/002589,Clinical and Epidemiological Study of EGFR Mutation and EML4-ALK Fusion Gene Among Indian Patients with Adenocarcinoma Lung,Observational,"Total: Not Applicable
Indian: Open to Recruitment",Non Small Cell Lung Cancer (NSCLC),,"Amrita Institute of Medical Sciences (AIMS),KERALA

Bangalore Institute of Oncology,KARNATAKA

BP Poddar Hospital & Medical Research Ltd.,WEST BENGAL

Nizams Institute of Medical Sciences (NIMS),ANDHRA PRADESH

Rajiv Gandhi Cancer Institute and Research Centre,DELHI

Tata Memorial Hospital,MAHARASHTRA"
CTRI/2012/06/002751,A comparison of two different treatments in advanced cancer of the esophagus(food pipe)i.e. combined chemotherapy and radiotherapy or radiotherapy alone to observe the benefit in swallowing food,Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting",Advanced inoperable esophageal cancer,"Radiotherapy,Chemotherapy","Dr BR Ambedkar Institute Rotary Cancer Hospital (IRCH), AIIMS,DELHI"
CTRI/2012/08/002900,"A Study in Patients With Hormone Receptor-Positive, Metastatic HER2-positive Breast Cancer.",Interventional,"Total: Completed
Indian: Completed",Breast Cancer,Pertuzumab + Trastuzumab + Aromatase Inhibitor OR Aromatase Inhibitor + Docetaxel or Paclitaxel (Investigator choice),"Apollo Speciality Hospital,TAMIL NADU

Bangalore Institute of Oncology,KARNATAKA

Indraprastha Apollo Hospitals,DELHI

Jaslok Hospital & Research Centre,MAHARASHTRA

Ruby Hall Clinic,MAHARASHTRA"
CTRI/2012/06/002736,"A Safety, Tolerability, Pharmacokinetic, and Efficacy Study of Docetaxel Injection Concentrate for Nano-Dispersion (DICN) in Subjects With Lung Cancer (NSCLC)",Interventional,"Total: Not Applicable
Indian: Other (Terminated)","Malignant neoplasm of unspecifiedpart of bronchus or lung

Unresectable Locally Advanced or Metastatic Non Small Cell Lung Cancer (NSCLC)",Docetaxel Injection Concentrate for Nano-dispersion (DICN),"Deenanath Mangeshkar Hospital & Research Centre,MAHARASHTRA

Department of Medical Oncology,ANDHRA PRADESH

HCG, Bangalore Institute of Oncology,KARNATAKA

Kailash Cancer Hospital & Research Centre,GUJARAT

KEM Hospital Research Centre,MAHARASHTRA

Shatabdi Super Speciality Hospital,MAHARASHTRA

Tata Memorial Hospital,MAHARASHTRA"
CTRI/2012/07/002792,vitamin D and calcium Supplementation reduces the complication of letrozole in breast cancer patients,Interventional,"Total: Not Applicable
Indian: Open to Recruitment",Postmenopausal breast cancer patients,"Tab Letrozole,Tab Vitamin D3,Tab Calcium No placebo group","Regional cancer centre ,JIPMER,PONDICHERRY"
CTRI/2013/06/003788,Neo-adjuvant Progesterone and Vitamin D3 in Breast cancer,Interventional,"Total: Not Applicable
Indian: Completed",Locally Advanced Breast Cancer and Large Operable Breast Cancer,"Vitamin D3

Inj Progestrone 500 mg","Tata Memorail Hospital,MAHARASHTRA"
CTRI/2012/08/002883,Clinical study of IND02 on side effects of breast cancer chemotherapy,Interventional,"Total: Completed
Indian: Completed","Anagen effluvium

Female Breast Cancer Patients under Chemotherapy",IND02 capsules,"Central India Cancer Research Institute (CICRI),MAHARASHTRA"
CTRI/2012/07/002802,Neo Adjuvant Chemotherapy in Triple Negative Breast Cancer,Interventional,"Total: Not Applicable
Indian: Closed to Recruitment of Participants","Locally advanced or Large Operable Breast cancer patients with Triple Negative hormone receptor status.

Malignant neoplasm of breast of unspecified site",Taxane Based Chemotherapy followed by Anthracycline Chemotherapy,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2012/07/002805,To asses the Impact of loco-regional treatment on survival of patients with metastatic breast cancer at first presentation.,Interventional,"Total: Not Applicable
Indian: Completed",Patient with metastatic breast cancer at first presentation.,Locoregional Treatment (LRT),"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2012/07/002828,Effect of Celecoxib and Erlotinib in Oral Cancers,Interventional,"Total: Not Applicable
Indian: Closed to Recruitment of Participants",Oral cancer,"Celecoxib

Erlotinib

Celecoxib 200mg + Erlotinib 150mg","Head and Neck unit ,MAHARASHTRA"
CTRI/2012/07/002829,A study to identify a panel of genes to predict cervical lymph node metastasis in cancer of the tongue,Observational,"Total: Not Applicable
Indian: Completed",Oral Cancer,Not applicable,"Head and Neck unit ,MAHARASHTRA"
CTRI/2012/07/002778,To assess the safety and tolerability of a single oral dose of the Capecitabine test and reference formulations.,BA/BE,"Total: Not Applicable
Indian: Completed",advanced or Metastatic Breast Cancer or colorectal Cancer or advanced gastric cancer,"Capecitabine Tablets 500 mg, manufactured by Hetero labs ltd.","BIBI general hospital and cancer centre ,ANDHRA PRADESH

ClinSync Hospitals ,ANDHRA PRADESH

Curie Manavata cancer centre,MAHARASHTRA

Dr .C. T. Satheesh,KARNATAKA

Life Research Centre,GUJARAT

Vikram Hospitals Bengaluru Pvt. Ltd.,KARNATAKA"
CTRI/2012/07/002821,A clinical trial to study the effects of EN3348 (MCC) as compared with Mitomycin C in the intravesical treatment of subjects with BCG recurrent or refractory non-muscle invasive bladder cancer,Interventional,"Total: Other (Terminated)
Indian: Other (Terminated)",BCG Recurrent Or Refractory Non-Muscle Invasive Bladder Cancer,EN3348,"Chhatrapati Shahuji Maharaj Medical University,UTTAR PRADESH

Christian Medical College & Hospital,PUNJAB

Dr. Ram Manohar Lohia Hospital & PGIMER,DELHI

M S Ramaiah Medical College and Hospitals,KARNATAKA

Monilek Hospital & Research Centre,RAJASTHAN

Nizams Institute of Medical Sciences,ANDHRA PRADESH

Rajiv Gandhi Cancer Institute and Research Centre,DELHI

Tata Memorial Hospital,MAHARASHTRA

Urocare Hospital,GUJARAT

V. M. Medical College & Safdarjang Hospital,DELHI

Woodlands Multispeciality Hospital Limited,WEST BENGAL"
CTRI/2012/08/002870,A STUDY TO EVALUATE INCIDENCE OF RADIATION INDUCED PNEUMONITIS IN LUNG CANCER,Observational,"Total: Not Applicable
Indian: Completed",PATIENTS HAVING LUNG CANCER SHALL BE ACCRUED AFTER COMPLETION OF (CHEMO)RADIOTHERAPY,,"Department of Radiation Oncology,MAHARASHTRA"
CTRI/2012/11/003100,"A single centre study to collect, store and use of solid tumor Cancer patientâ€™s tissue for designing a technology to test the in vitro sensitivity of the drugs in cell lines",Observational,"Total: Not Applicable
Indian: Open to Recruitment",Solid Tumor Cancer Patients,,"Sarvodaya Billiance Hospitals,KARNATAKA"
CTRI/2012/07/002783,A Study to Assess Radiation Induced Mucositis in patients of Head and Neck cancer Administered Chemo-Radiation with or without P276-00,Interventional,"Total: Not Applicable
Indian: Completed",Radiation induced Mucositis in Head and Neck cancer,P276-00,"All India Institute of Medical Sciences,DELHI

Apollo Gleneagles Hospital,WEST BENGAL

Bharat Cancer Hospital & Research Institute,GUJARAT

Christian Medical College,TAMIL NADU

Curie Manavta Cancer Centre,MAHARASHTRA

G Kuppuswamy Naidu Memorial Hospital,TAMIL NADU

Kolhapur Cancer Centre,MAHARASHTRA

Mahatma Gandhi Cancer Hospital & Research Centre,ANDHRA PRADESH

Max Superspeciality Hospital,DELHI

Mazumdar Shaw Cancer Center,KARNATAKA

Meenakshi Mission Hosp. & Res. Centre,TAMIL NADU

Regional Cancer Centre,KERALA

Ruby Hall Clinic,MAHARASHTRA

SEROC Cancer Centre,RAJASTHAN

Sri Venkateshwara Hospitals,KARNATAKA

Tata Memorial Centre,MAHARASHTRA

Yashoda Hospital,ANDHRA PRADESH"
CTRI/2012/08/002939,Validation of EORTC CIPN20 module in Indian Languages (Hindi and Marathi),Observational,"Total: Not Applicable
Indian: Completed","Breast Cancer, Ovarian Cancer,Head and Neck Cancer under going chemotherapy",,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2013/06/003771,Fitness for anaesthesia- rationalizing investigations for cancer surgery,Observational,"Total: Not Applicable
Indian: Completed",cancer,,"pre anaesthesia check OPD, tata memorial hospital,MAHARASHTRA"
CTRI/2012/11/003116,A Pilot Study to Evaluate Safety and Efficacy of HLA-mismatched Granulocyte Transfusions in the Treatment of Patients with Solid Malignant Tumors Who Are Resistant to Standard Cancer Therapy or for Whom No Standard Cancer Therapy Exists,Interventional,"Total: Not Applicable
Indian: Completed",CANCER,Granulocyte transfusions,"Jehangir Clinical Dvelopment Centre,MAHARASHTRA"
CTRI/2012/09/002966,Management and prognosis of breast cancer through FDG PET/CT,Observational,"Total: Not Applicable
Indian: Not Yet Recruiting",Breast Cancer (Retrospective data of Breast Cancer Patients will be collected),,"Max Super Speciality Hospital, Saket,DELHI"
CTRI/2013/02/003373,Imaging assisted Radiation for Cervical Cancers,Interventional,"Total: Not Applicable
Indian: Open to Recruitment",Patients with FIGO stage I - III B cervical cancer,EBRT +/- Chemotherapy followed by Brachytherapy,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2012/08/002916,PET CT(Positron emission tomography- computed tomography) technique in esophageal cancer.- A retrospective study for the study of indications in esophageal cancer patient.,Observational,"Total: Not Applicable
Indian: Open to Recruitment",esophageal cancer,,"Clinical Research department Max Super Speciality Hospital,DELHI"
CTRI/2013/02/003410,A Randomized controlled study to evaluate accelerated fractionation(6days/week radiation) with standard best practice(5days/week radiation) in Head and Neck cancers with weekly Concurrent chemotherapy in both arm,Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting",Histologically proven case of Head and Neck Cancer,Accelerated fractionation Radiotherapy with concurrent chemotherapy,"Medanta The Medicity,HARYANA"
CTRI/2012/09/002972,To compare the blood levels of Pemetrexed in Non small cell lung cancer patients treated with Alimta and Pemgem,BA/BE,"Total: Not Applicable
Indian: Open to Recruitment",Indian adult ChemoNaive Adenocarcinoma Non-small cell lung cancer patient,PEMGEM (Dr. Reddys Lab) 500 mg/m2 IV over 10 minute,"ACTREC Tata memorial centre,MAHARASHTRA"
CTRI/2012/08/002940,To assess the safety and tolerability of a single oral dose of the Capecitabine test and reference formulations,BA/BE,"Total: Not Applicable
Indian: Open to Recruitment",locally advanced or Metastatic Breast Cancer or Colorectal Cancer adult subjects.,"Capecitabine Tablets 500 mg,manufactured by Hetero labs ltd.","Bibi General Hospital and Cancer Centre,ANDHRA PRADESH

Life Research Centre,GUJARAT"
CTRI/2012/08/002905,"A Double-blind, Placebo-controlled Study to Evaluate New or Worsening Lens Opacifications in Subjects with Non-metastatic Prostate Cancer Receiving Denosumab for Bone Loss due to Androgen-Deprivation Therapy",Interventional,"Total: Completed
Indian: Completed","Cancer Cataract Low Bone Mineral Density Osteopenia Osteoporosis Prostate Cancer

Malignant neoplasm of prostate",Active Comparator: Arm A Denosumab 60 mg subcutaneously on Day 1 and Month 6,"Christian Medical college Hospital,PUNJAB

Curie Manavata Cancer Centre,MAHARASHTRA

HCG-Bangalore Institute of Oncology,KARNATAKA

Sai Urology Hospital,MAHARASHTRA"
CTRI/2012/08/002945,"A Clinical trial intended to compare two formulations of Capecitabine tablets, in patients with Breast Cancer, Dukeâ€™s C Colon Cancer or Colorectal Cancer.",BA/BE,"Total: Not Applicable
Indian: Completed","Patients with Metastatic Breast Cancer, Dukeâ€™s C Colon Cancer or Metastatic Colorectal Cancer",XELODAÂ® -Capecitabine 500 mg tablets,"Bibi General Hospital And Cancer Centre,,ANDHRA PRADESH

Central India Cancer Research Institute,MAHARASHTRA

City Cancer Centre,ANDHRA PRADESH

Curie Manavta Cancer Centre,MAHARASHTRA

Jeevandeep Oncosurgical Hospital,GUJARAT

Manav Rakshak Cancer Hospital,DELHI

Noble Hospital,MAHARASHTRA

Shatabdi Superspeciality Hospital,MAHARASHTRA

Shreyas Medical clinic and Hospital,GUJARAT"
CTRI/2012/09/002994,Phase III trial of afatinib versus erlotinib in patients with advanced squamous cell carcinoma of the lung.,Interventional,"Total: Open to Recruitment
Indian: Open to Recruitment",Non Small Cell Lung Cancer,Afatinib,"AIIMS,DELHI

Apollo Hospital,ANDHRA PRADESH

B P Poddar Hospital & Medical Research Ltd.,WEST BENGAL

Dr.Kamakshi Memorial Hospital,TAMIL NADU

G Kuppuswami Memorial Hospital,TAMIL NADU

Hemato-Oncology Clinic Ahmedabad Pvt Ltd,GUJARAT

Kasturba Medical College,KARNATAKA

M S Patel Cancer Centre ,GUJARAT

Meenakshi Mission Hosiptal and Research Centre,TAMIL NADU

Ruby Hall Clinic,MAHARASHTRA

S M S Medical College & Hospital,RAJASTHAN

Sri Ramachandra Medical Centre,TAMIL NADU

Tata Memorial Hospital,MAHARASHTRA

V.S Hospital,,TAMIL NADU

Vikram Hospital,KARNATAKA

Yashoda Hospital,ANDHRA PRADESH"
CTRI/2012/11/003101,"A study to compare the safety and efficacy of an aromatase inhibitor in combination with lapatinib, trastuzumab or both for the treatment of hormone receptor positive, HER2+ metastatic breast cancer",Interventional,"Total: Open to Recruitment
Indian: Suspended","Hormone receptor positive, HER2-positive metastatic breast cancer (MBC)",Lapatinib,"Apollo Hospital Educational & Research Foundation,DELHI

Bharat Cancer Hospital & Research Institute,GUJARAT

Central India Cancer Research Institute,MAHARASHTRA

Rajiv Gandhi Cancer Institute and Research Centre,DELHI

Ruby Hall Clinic,MAHARASHTRA

Sri Ramachandra Medical College,TAMIL NADU

Vikram Hospital Bengaluru Private Limited,KARNATAKA"
CTRI/2012/09/003024,A clinical trial to study the effects of Vandetanib 150 and 300 mg/day in Patients with Unresectable Locally Advanced or Metastatic Medullary Thyroid Carcinoma with Progressive or Symptomatic Disease,Interventional,"Total: Open to Recruitment
Indian: Open to Recruitment",Thyroid Cancer,Vandetanib,"Bibi General Hospital & Cancer Centre,ANDHRA PRADESH

Department of Medical Oncology, Christian Medical College,TAMIL NADU

Mazumdar Shaw Medical Centre,KARNATAKA"
CTRI/2012/10/003055,Clinical trial to evaluate the efficacy of drug product Denosumab in patients with advance cancer.,Interventional,"Total: Closed to Recruitment of Participants
Indian: Closed to Recruitment of Participants","Bone Metastases in Men With Hormone-Refractory Prostate Cancer Bone Metastases in Subjects With Advanced Breast Cancer

Neoplasm of unspecified behavior of unspecified site",Experimental: denosumab 120 milligrams of denosumab injected subcutaneously every 4 weeks,"Searoc Cancer Center,RAJASTHAN"
CTRI/2013/02/003435,"This is comparative study for the Imatinib Mesylate 400mg tablets with Imatinib Mesylate 400mg tablets of ( Gleevec)Novartis Pharmaceuticals Corporation, East Hanover, New Jersey in patients with Chronic Myeloid Leukemia and/or Gastrointestinal Stromal Tumor under fed steady-state condition.",BA/BE,"Total: Not Applicable
Indian: Completed",Cancer Patients,Imatinib mesylate 400 mg tablet once daily for 8 days (Period I or Period II)during the study.,"Axon Hospitals,,ANDHRA PRADESH

Bharat Cancer Hospital and Research Institute,GUJARAT

Central India Institute of Haematology & Oncology,MAHARASHTRA

Dr. Rai Memorial Medical Center,TAMIL NADU

Life Research Centre,GUJARAT

M V Hospital and Research Centre,UTTAR PRADESH

Meenakshi Mission Hospital & Research Centre,TAMIL NADU

Netaji Subhash Chandra Bose Cancer Research ,WEST BENGAL

NRR Hospital,KARNATAKA

Vintage Hospital and Research Centre,GOA

VMMC And Safdarjung ,DELHI"
CTRI/2012/09/003030,A study to evaluate the Efficacy and Safety of LA-EP2006 and NeulastaÂ® in patients with breast cancer.,Interventional,"Total: Completed
Indian: Completed",Prevention of neutropenic complications in breast cancer patients treated with myelosuppressive chemotherapy,LA-EP2006,"Amrita Institute of Medical Sciences,KERALA

Bharat Cancer Hospital & Research Institute,GUJARAT

Cancer Care Clinic and Hospital,MAHARASHTRA

Central India Cancer Research Institute,MAHARASHTRA

Chittaranjan National Cancer Institute,WEST BENGAL

City Cancer Centre,ANDHRA PRADESH

Deenanath Mangeshkar Hospital and Research Centre,MAHARASHTRA

Delhi State Cancer Institute,DELHI

Dharamshila Hospital and Research Centre,DELHI

Dr. Rai Memorial Medical Centre,TAMIL NADU

Government Medical College & Hospital,MAHARASHTRA

Jehangir Clinical Development Centre,MAHARASHTRA

Kasturba Medical College Hospital,KARNATAKA

Kidwai Memorial Institute of Oncology,ANDHRA PRADESH

King George Hospital,ANDHRA PRADESH

Kolhapur Cancer Centre,MAHARASHTRA

M.S. Patel Cancer Centre,GUJARAT

Meenakshi Mission Hospital and Research Centre ,TAMIL NADU

Ruby Hall Clinic,MAHARASHTRA

SeaRoc Cancer Center,RAJASTHAN

Shatabdi Superspeciality Hospital,MAHARASHTRA"
CTRI/2012/10/003065,A study to evaluate the Efficacy and Safety of LA-EP2006 and NeulastaÂ® in patients with breast cancer.,Interventional,"Total: Completed
Indian: Completed",Prevention of neutropenic complications in breast cancer patients treated with myelosuppressive chemotherapy,LA-EP2006,"B. P. Poddar Hospital & Medical Research Ltd,WEST BENGAL

Bharat Cancer Hospital & Research Institute,GUJARAT

BIBI General Hospital & Cancer Centre,ANDHRA PRADESH

City Cancer Center,ANDHRA PRADESH

Curie Manavata Cancer Centre,MAHARASHTRA

Dr. Ida B Scudder Cancer Centre,TAMIL NADU

Galaxy Laparoscopy Institute,MAHARASHTRA

Government Medical College & Hospital,MAHARASHTRA

Hemato-Oncology Clinic, Ahmedabad Pvt. Ltd.,GUJARAT

Kailash Cancer Hospital and Research Centre,GUJARAT

Kasturba Medical College & Hospital,KARNATAKA

King George Medical University,UTTAR PRADESH

M.S.Patel Cancer Centre,GUJARAT

Mahatma Gandhi Cancer Hospital and Research Institute,ANDHRA PRADESH

Manipal Hospital,KARNATAKA

Max Super Specialty Hospital (A Unit of Balaji Medical and Diagnostic Research Centre),DELHI

Prince Aly Khan Hospital,MAHARASHTRA

Regional Cancer Centre,BIHAR

S. L. Raheja Hospital,MAHARASHTRA

Shri Siddhi Vinayak Ganapati Cancer Hospital,MAHARASHTRA

St. Josephâ€™s General Hospital,ANDHRA PRADESH

Sujan Surgical Cancer Hospital and Amravati Cancer Foundation,,MAHARASHTRA

V.S. Hospital,TAMIL NADU"
CTRI/2014/02/004382,Study to evaluate safety of Cabazitaxel (Jevtana) in Combination with or prednisolone for the Treatment of Prostate Cancer patients,Interventional,"Total: Not Applicable
Indian: Completed","Prostate Cancer

Personal history of malignant neoplasm of genital organs",Cabazitaxel,"BPPoddarHospitalandMedicalResearchlimited,WEST BENGAL

Rajiv Gandhi Cancer Institute and Research Center,DELHI

Regional Cancer Centre,KERALA"
CTRI/2012/11/003115,Improvement in swallowing problems with early exercises in head and neck cancer patients.,Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting",head and neck cancer,FEES (Fiberoptic Endoscopic Evaluation of Swallowing),"Max super specialty hospital a unit of Devki Devi ,DELHI"
CTRI/2013/04/003525,Human Papilloma Virus in Head and Neck Cancer: Clinico-pathological Outcome,Observational,"Total: Not Applicable
Indian: Open to Recruitment",Head and Neck Cancers - HPV presence and viral load estimstion,,"Dept of surgical Oncology,Saroj Gupta Cancer Centre and Research Insitutute,WEST BENGAL"
CTRI/2013/02/003422,Low dose gemcitabine vs standard dose gemcitabine in advanced lung cancer,Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting",Advanced non-small cell lung cancer,LOW DOSE GEMCITABINE,"TATA MEMORIAL HOSPITAL,MAHARASHTRA"
CTRI/2012/11/003147,Kidney cancer treatment & outcome study.,Observational,"Total: Not Applicable
Indian: Open to Recruitment",kidney cancer patients taking treatment at tata memorial hospital,,"Tata Memorial center,MAHARASHTRA"
CTRI/2014/03/004455,Prognostic markers in Breast cancer,Observational,"Total: Not Applicable
Indian: Open to Recruitment",Mastectomy specimen of breast cancer,,"department of pathology,KARNATAKA"
CTRI/2013/04/003549,"A clinical trial to study the effects of two drugs, R-TPR-016 and HerceptinÂ® in patients with Metastatic HER2-Overexpressing Breast Cancer",Interventional,"Total: Not Applicable
Indian: Closed to Recruitment of Participants",Patients with Metastatic HER2-Overexpressing Breast Cancer,R-TPR-016,"Acharya Harihar Regional Cancer Centre,ORISSA

Acharya Tulsi Regional Cancer Institute & Research Centre ,RAJASTHAN

Action Cancer Hospital,DELHI

Cancer Care Clinic & Hospital,MAHARASHTRA

Curie Manavta Cancer Centre, Nashik,MAHARASHTRA

Delhi State Cancer Institute,DELHI

Dr. Baraskar Hospital and Cancer Care Center,MAHARASHTRA

G. Kuppuswamy Naidu Memorial Hospital,TAMIL NADU

Gujarat Cancer and Research Institute,GUJARAT

HCG Cancer Centre,GUJARAT

Karnataka cancer Hospital & Research Centre,KARNATAKA

Kasturba Medical College Hospital,KARNATAKA

KEM Hospital,MAHARASHTRA

Kodlikeri Memorial Hospital,MAHARASHTRA

Kolhapur Cancer centre,MAHARASHTRA

Mahatma Gandhi Cancer Hospital and Research Institute,ANDHRA PRADESH

Meenakshi Mission Hospital,TAMIL NADU

Sahyadri Speciality Hospital,MAHARASHTRA

Shri Ramachandra medical Centre,TAMIL NADU

Sujan Surgical Cancer Hospital & Amravati Cancer Foundation,MAHARASHTRA"
CTRI/2013/05/003699,"A clinical trial to study the effects of two drugs, R-TPR-023 and Avastinâ„¢ in patients with Metastatic colorectal cancer",Interventional,"Total: Not Applicable
Indian: Closed to Recruitment of Participants",Patients with Metastatic colorectal cancer,R-TPR-023,"Acharya Harihar Regional Cancer Centre,ORISSA

Acharya Tulsi Regional Cancer Institute & Research Centre,RAJASTHAN

Action Cancer Hospital,DELHI

BIBI Cancer Hospital, & Cancer Centre,ANDHRA PRADESH

Central India Cancer Research Institute,MAHARASHTRA

City Cancer Centre,ANDHRA PRADESH

Curie Manavata Cancer Institute,MAHARASHTRA

Delhi State Cancer Institute,DELHI

Dr. Baraskar Hospital and Cancer Care Center,MAHARASHTRA

G. Kuppuswamy Naidu Memorial Hospital,TAMIL NADU

HCG Cancer Centre,GUJARAT

K. E. M. Hospital,MAHARASHTRA

Kailash Cancer Hospital & Research Centre,GUJARAT

Karnataka cancer Hospital & Research Centre,KARNATAKA

Kasturba Medical College Hospital,KARNATAKA

Kodlikeri Memorial Hospital,MAHARASHTRA

Kolhapur Cancer Centre,MAHARASHTRA

Mahatma Gandhi Cancer Hospital & Research Institute,ANDHRA PRADESH

Meenakshi Mission Hospital,TAMIL NADU

Mysore Medical College & Research Institute,KARNATAKA

Sahyadri Speciality Hospital,MAHARASHTRA

Sujan Surgical Cancer Hospital & Amravati Cancer Foundation,MAHARASHTRA

Unique Hospital Multispeciality & Research Institute,GUJARAT"
CTRI/2012/12/003269,"Study to evaluate the awareness and knowledge towards cervical cancer, Human Papillomavirus and HPV vaccines among different healthcare workers.",Observational,"Total: Not Applicable
Indian: Completed",Prevention against cancer,,"B. J. Govt. Medical college and hospital, Pune,MAHARASHTRA"
CTRI/2013/01/003281,An observational study to know whether it is feasible to preoperatively check and confirm placement of an epidural catheter using 3cc of a drug called lignocaine 1%,Interventional,"Total: Not Applicable
Indian: Completed",Cancer patients for elective surgery,,"Main OT complex,MAHARASHTRA"
CTRI/2013/11/004143,Phase II Randomized controlled trial comparing conventionally fractionated radiation vs hypofractionated radiation in locally advanced non adeno non small cell carcinoma lung,Interventional,"Total: Not Applicable
Indian: Open to Recruitment",Cancer,Neoadjuvant chemotherapy followed by hypofractionated radiation with concurrent chemotherapy.,"Institute Rotary Cancer Hospital, All India Institute of Medical Sciences,DELHI"
CTRI/2013/12/004263,Peri-operative Trastuzumab study for patients with operable breast cancer patients,Interventional,"Total: Not Applicable
Indian: Open to Recruitment",Operable Female Breast Cancer,"Injection Trastuzumab (Herceptin, Hoffman La Roche)","Tata Memorial Hospital,MAHARASHTRA"
CTRI/2013/05/003708,Trial comparing surgery first or chemotherapy first in stomach cancer,Interventional,"Total: Not Applicable
Indian: Open to Recruitment",Carcinoma stomach (gastric cancer),Perioperative chemotherapy,"Basavatarakam Indo-American Cancer Hospital and Research Institute,ANDHRA PRADESH

Cancer Institute (WIA),TAMIL NADU

Christian Medical College Hospital,TAMIL NADU

Kidwai Memorial Institute of Oncology,KARNATAKA

MNJ Institute of Oncology and Regional Cancer Center,ANDHRA PRADESH"
CTRI/2013/03/003448,A study to findout the cancer related tiredness,Observational,"Total: Not Applicable
Indian: Not Yet Recruiting",Cancer,,"FATHER MULLER CHARITABLE HOSPITAL,KARNATAKA"
CTRI/2015/06/005874,"Analysis of correlation of genetic factors, and biomarkers markers in laryngeal and pharyngeal cancers",Observational,"Total: Not Applicable
Indian: Open to Recruitment",head and neck cancer,,"Tata Memorial centre,MAHARASHTRA"
CTRI/2013/03/003458,Identification of prognostic markers of human breast cancer towards metastasis in East Indian population,Observational,"Total: Not Applicable
Indian: Open to Recruitment",Breast Cancer,,"Department of Surgical Oncology,WEST BENGAL"
